basedatetime,mmsi,lat,lon,sog,cog,vessel_type,speed_class
2024-01-01 17:35:00,311000115.0,28.69474,-90.41001,8.5,32.1,99.0,Slow
2024-01-01 18:45:00,311000115.0,28.8379,-90.30666,8.2,32.3,99.0,Slow
2024-01-01 18:50:00,311000115.0,28.84406,-90.30221,8.2,32.5,99.0,Slow
2024-01-01 19:00:00,311000115.0,28.86119,-90.28964,8.2,32.7,99.0,Slow
2024-01-01 19:10:00,311000115.0,28.87979,-90.27586,8.0,33.0,99.0,Slow
2024-01-01 19:15:00,311000115.0,28.88893,-90.26908,7.9,33.0,99.0,Slow
2024-01-01 19:20:00,311000115.0,28.8961,-90.26382,7.9,32.6,99.0,Slow
2024-01-01 19:25:00,311000115.0,28.90677,-90.25613,7.9,31.4,99.0,Slow
2024-01-01 19:30:00,311000115.0,28.91734,-90.25171,8.0,18.9,99.0,Slow
2024-01-01 19:35:00,311000115.0,28.93086,-90.24614,8.1,22.1,99.0,Slow
2024-01-01 19:40:00,311000115.0,28.93938,-90.24219,8.2,22.6,99.0,Slow
2024-01-01 19:45:00,311000115.0,28.94955,-90.23677,8.3,27.2,99.0,Slow
2024-01-01 19:50:00,311000115.0,28.95886,-90.23122,8.3,27.6,99.0,Slow
2024-01-01 19:55:00,311000115.0,28.96856,-90.22532,8.3,27.8,99.0,Slow
2024-01-01 20:00:00,311000115.0,28.9803,-90.21823,8.4,28.1,99.0,Slow
2024-01-01 20:05:00,311000115.0,28.99108,-90.21266,8.4,8.3,99.0,Slow
2024-01-01 20:10:00,311000115.0,29.00218,-90.21522,8.6,341.7,99.0,Slow
2024-01-01 20:15:00,311000115.0,29.01311,-90.21952,8.5,340.0,99.0,Slow
2024-01-01 20:20:00,311000115.0,29.02401,-90.22396,8.5,340.4,99.0,Slow
2024-01-01 20:25:00,311000115.0,29.03696,-90.22895,8.5,344.6,99.0,Slow
2024-01-01 20:30:00,311000115.0,29.04816,-90.23217,8.5,348.3,99.0,Slow
2024-01-01 20:35:00,311000115.0,29.05941,-90.23129,5.6,11.7,99.0,Slow
2024-01-01 20:40:00,311000115.0,29.06845,-90.22926,6.2,10.7,99.0,Slow
2024-01-01 20:45:00,311000115.0,29.07582,-90.2277,7.9,9.2,99.0,Slow
2024-01-01 20:50:00,311000115.0,29.08632,-90.22584,8.1,9.3,99.0,Slow
2024-01-01 20:55:00,311000115.0,29.09726,-90.22257,8.1,21.9,99.0,Slow
2024-01-01 21:00:00,311000115.0,29.10505,-90.21525,8.1,54.7,99.0,Slow
2024-01-01 21:05:00,311000115.0,29.1106,-90.20881,4.6,14.1,99.0,Slow
2024-01-01 21:10:00,311000115.0,29.11751,-90.21209,4.5,330.0,99.0,Slow
2024-01-01 21:15:00,311000115.0,29.12112,-90.21199,3.7,59.3,99.0,Slow
2024-01-01 21:20:00,311000115.0,29.12254,-90.20611,4.0,92.5,99.0,Slow
2024-01-01 21:25:00,311000115.0,29.12211,-90.19952,3.4,105.3,99.0,Slow
2024-01-01 21:30:00,311000115.0,29.11968,-90.19779,1.5,155.7,99.0,Stopped
2024-01-01 21:35:00,311000115.0,29.11942,-90.19753,0.4,91.3,99.0,Stopped
2024-01-01 21:45:00,311000115.0,29.11926,-90.19735,0.0,336.6,99.0,Stopped
2024-01-01 21:50:00,311000115.0,29.11927,-90.19734,0.0,83.7,99.0,Stopped
2024-01-01 21:55:00,311000115.0,29.11925,-90.19735,0.0,187.7,99.0,Stopped
2024-01-01 22:00:00,311000115.0,29.11925,-90.19734,0.0,318.1,99.0,Stopped
2024-01-01 22:05:00,311000115.0,29.11926,-90.19736,0.0,269.0,99.0,Stopped
2024-01-01 22:10:00,311000115.0,29.1189,-90.19739,0.2,141.4,99.0,Stopped
2024-01-01 22:15:00,311000115.0,29.11865,-90.19701,0.2,150.8,99.0,Stopped
2024-01-01 22:20:00,311000115.0,29.11829,-90.1968,0.2,180.9,99.0,Stopped
2024-01-01 22:25:00,311000115.0,29.11815,-90.19675,0.0,219.7,99.0,Stopped
2024-01-01 22:30:00,311000115.0,29.11817,-90.19675,0.0,81.8,99.0,Stopped
2024-01-01 22:35:00,311000115.0,29.1182,-90.19676,0.0,11.6,99.0,Stopped
2024-01-01 22:40:00,311000115.0,29.11815,-90.19677,0.0,248.3,99.0,Stopped
2024-01-01 23:05:00,311000115.0,29.11818,-90.19675,0.0,340.8,99.0,Stopped
2024-01-01 23:15:00,311000115.0,29.11817,-90.19674,0.0,140.9,99.0,Stopped
2024-01-01 23:25:00,311000115.0,29.11817,-90.19673,0.0,74.1,99.0,Stopped
2024-01-01 23:35:00,311000115.0,29.11819,-90.19676,0.0,316.2,99.0,Stopped
2024-01-01 23:50:00,311000115.0,29.11817,-90.19676,0.0,275.0,99.0,Stopped
2024-01-01 15:35:00,338332819.0,29.55286,-95.03419,3.2,154.3,37.0,Slow
2024-01-01 15:40:00,338332819.0,29.55168,-95.0347,3.8,221.0,37.0,Slow
2024-01-01 15:45:00,338332819.0,29.54959,-95.04241,4.7,272.7,37.0,Slow
2024-01-01 15:50:00,338332819.0,29.54818,-95.04393,0.0,201.6,37.0,Stopped
2024-01-01 15:55:00,338332819.0,29.54818,-95.04395,0.0,201.6,37.0,Stopped
2024-01-01 16:00:00,338332819.0,29.54813,-95.04395,0.0,201.6,37.0,Stopped
2024-01-01 16:05:00,338332819.0,29.54812,-95.04395,0.0,201.6,37.0,Stopped
2024-01-01 16:10:00,338332819.0,29.54824,-95.04401,0.0,201.6,37.0,Stopped
2024-01-01 16:15:00,338332819.0,29.54823,-95.04399,0.0,201.6,37.0,Stopped
2024-01-01 16:25:00,338332819.0,29.54823,-95.04404,0.0,201.6,37.0,Stopped
2024-01-01 13:20:00,338379829.0,27.79254,-82.62376,0.0,360.0,37.0,Stopped
